sku_id,center_id,storage_type,AS_IS_stock_kg,TO_BE_stock_kg_heuristic,변화_kg
389547,5,실온,0.0,0.0,0.0
100965,1,실온,2180.0,2180.0,0.0
100965,2,실온,3760.0,8405.33,4645.33
100965,4,실온,0.0,0.0,0.0
100965,5,실온,4690.0,44.67,-4645.33
122935,1,실온,982.35,982.35,0.0
122935,2,실온,1480.9,1480.9,0.0
122935,4,실온,0.0,0.0,0.0
122935,5,실온,0.0,0.0,0.0
431372,1,실온,0.0,0.0,0.0
431372,2,실온,3520.0,3520.0,0.0
431372,4,실온,0.0,0.0,0.0
431372,5,실온,0.0,0.0,0.0
337229,1,실온,3410.4,3410.4,0.0
337229,2,실온,0.0,0.0,0.0
337229,4,실온,0.0,0.0,0.0
337229,5,실온,0.0,0.0,0.0
138271,1,냉동,1066.25,1066.25,0.0
138271,2,냉동,0.0,0.0,0.0
138271,3,냉동,1942.5,1942.5,0.0
138271,4,냉동,0.0,0.0,0.0
138271,5,냉동,1065.0,1065.0,0.0
294614,1,냉동,1298.0,1298.0,0.0
294614,2,냉동,0.0,0.0,0.0
294614,3,냉동,1718.0,1718.0,0.0
294614,4,냉동,1808.0,1808.0,0.0
294614,5,냉동,0.0,0.0,0.0
457579,1,냉동,6012.8,6012.8,0.0
457579,2,냉동,0.0,0.0,0.0
457579,3,냉동,0.0,0.0,0.0
457579,4,냉동,0.0,0.0,0.0
457579,5,냉동,0.0,0.0,0.0
345674,1,실온,0.0,0.0,0.0
345674,2,실온,1107.2,1107.2,0.0
345674,4,실온,0.0,0.0,0.0
345674,5,실온,0.0,0.0,0.0
280432,1,실온,1103.5,1103.5,0.0
280432,2,실온,1887.75,1887.75,0.0
280432,4,실온,0.0,0.0,0.0
280432,5,실온,2816.25,2816.25,0.0
390233,1,실온,3613.5,3613.5,0.0
390233,2,실온,0.0,0.0,0.0
390233,4,실온,0.0,0.0,0.0
390233,5,실온,0.0,0.0,0.0
421532,1,실온,2520.0,13294.4,10774.4
421532,2,실온,10832.0,57.6,-10774.4
421532,4,실온,0.0,0.0,0.0
421532,5,실온,0.0,0.0,0.0
368865,1,실온,4740.0,4740.0,0.0
368865,2,실온,3549.0,3549.0,0.0
368865,4,실온,0.0,0.0,0.0
368865,5,실온,5640.0,5640.0,0.0
138272,1,냉동,3693.8,3693.8,0.0
138272,2,냉동,0.0,0.0,0.0
138272,3,냉동,2788.75,2788.75,0.0
138272,4,냉동,0.0,0.0,0.0
138272,5,냉동,1638.75,1638.75,0.0
160016,1,실온,1402.5,1402.5,0.0
160016,2,실온,541.2,541.2,0.0
160016,4,실온,0.0,0.0,0.0
160016,5,실온,2019.6,2019.6,0.0
458258,1,실온,4280.0,4280.0,0.0
458258,2,실온,2724.0,2724.0,0.0
458258,4,실온,2944.0,2944.0,0.0
458258,5,실온,0.0,0.0,0.0
389503,1,냉장,5689.0,5689.0,0.0
389503,2,냉장,0.0,0.0,0.0
389503,4,냉장,0.0,0.0,0.0
389503,5,냉장,0.0,0.0,0.0
459818,1,실온,0.0,0.0,0.0
459818,2,실온,5640.0,5640.0,0.0
459818,4,실온,0.0,0.0,0.0
459818,5,실온,0.0,0.0,0.0
391082,1,냉동,0.0,0.0,0.0
391082,2,냉동,0.0,0.0,0.0
391082,3,냉동,0.0,0.0,0.0
391082,4,냉동,0.0,0.0,0.0
391082,5,냉동,4185.0,4185.0,0.0
435562,1,냉동,7607.91,7607.91,0.0
435562,2,냉동,0.0,0.0,0.0
435562,3,냉동,0.0,0.0,0.0
435562,4,냉동,0.0,0.0,0.0
435562,5,냉동,0.0,0.0,0.0
362526,1,실온,0.0,0.0,0.0
362526,2,실온,4592.0,4592.0,0.0
362526,4,실온,0.0,0.0,0.0
362526,5,실온,0.0,0.0,0.0
303506,1,냉동,2135.2,2135.2,0.0
303506,2,냉동,0.0,0.0,0.0
303506,3,냉동,2284.8,2284.8,0.0
303506,4,냉동,709.92,709.92,0.0
303506,5,냉동,0.0,0.0,0.0
105314,1,실온,2922.0,2922.0,0.0
105314,2,실온,1389.0,1389.0,0.0
105314,4,실온,0.0,0.0,0.0
105314,5,실온,0.0,0.0,0.0
439875,1,실온,80.0,80.0,0.0
439875,2,실온,0.0,0.0,0.0
439875,4,실온,0.0,0.0,0.0
439875,5,실온,0.0,0.0,0.0
117642,1,냉동,0.0,6690.83,6690.83
117642,2,냉동,0.0,0.0,0.0
